id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
2785,Boyacá,2017-10-15,domingo,Normal,Seca y limpia,Plano,Recta,Transito normal con precaución,0,0,Choque,100.0
2786,Boyacá,2017-10-19,jueves,Normal,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
2787,Boyacá,2017-11-04,sabado,Normal,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2788,Boyacá,2017-11-08,miercoles,Normal,Seca y limpia,Montañoso,Curva Izquierda,Transito normal con precaución,0,0,Volcamiento,100.0
2789,Boyacá,2017-11-28,martes,Normal,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,2,0,Choque,100.0
2790,Boyacá,2017-12-13,miercoles,Normal,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2791,Boyacá,2018-01-16,martes,Normal,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Atropello,100.0
2792,Boyacá,2018-01-31,miercoles,Normal,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
2793,Boyacá,2018-02-11,domingo,Normal,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,1,Choque,100.0
2794,Antioquia,2018-03-22,jueves,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,1,0,Choque,100.0
2795,Antioquia,2018-03-26,lunes,Lluvia,Humeda,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2796,Antioquia,2018-03-27,martes,Lluvia,Humeda,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2797,Antioquia,2018-03-31,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2798,Antioquia,2018-02-17,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2799,Antioquia,2018-02-17,sabado,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial restringido a vehiculos pesados,0,0,Choque,100.0
2800,Antioquia,2018-02-23,viernes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con paso alternado,1,0,Choque,100.0
2801,Antioquia,2018-02-25,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2802,Antioquia,2018-02-28,miercoles,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2803,Antioquia,2018-03-04,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2804,Antioquia,2018-03-04,domingo,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con paso alternado,0,0,Choque,100.0
2805,Antioquia,2018-03-07,miercoles,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2806,Antioquia,2018-03-08,jueves,Normal,Seca y limpia,Montañoso,Recta,Transito normal con precaución,2,0,Choque,100.0
2807,Antioquia,2018-03-10,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,2,0,Choque,100.0
2808,Antioquia,2018-03-13,martes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Volcamiento,100.0
2809,Antioquia,2018-03-12,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,1,0,Choque,100.0
2810,Antioquia,2017-05-01,lunes,Normal,Aceite,Montañoso,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2811,Antioquia,2017-05-01,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2812,Antioquia,2017-05-01,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2813,Antioquia,2017-05-01,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2814,Antioquia,2017-05-03,miercoles,Normal,Material suelto,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2815,Antioquia,2017-05-04,jueves,Normal,Seca y limpia,Montañoso,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
2816,Antioquia,2017-05-10,miercoles,Normal,Lodo,Montañoso,Curva Izquierda,Parcial restringido a vehiculos pesados,1,0,Choque,100.0
2817,Antioquia,2017-05-13,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,1,Choque,100.0
2818,Antioquia,2017-05-14,domingo,Lluvia,Humeda,Montañoso,Recta,Transito normal con precaución,2,0,Choque,100.0
2819,Antioquia,2017-05-15,lunes,Normal,Otra,Montañoso,Curva Izquierda,Parcial con paso alternado,1,0,Choque,100.0
2820,Antioquia,2017-05-15,lunes,Lluvia,Humeda,Montañoso,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2821,Antioquia,2017-05-16,martes,Normal,Humeda,Montañoso,Recta,Parcial con paso alternado,1,0,Choque,100.0
2822,Antioquia,2017-05-27,sabado,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con reducción de carriles,0,0,Atropello,100.0
2823,Antioquia,2017-06-02,viernes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2824,Antioquia,2017-06-02,viernes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,2,0,Choque,100.0
2825,Antioquia,2017-06-12,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2826,Antioquia,2017-06-22,jueves,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2827,Antioquia,2017-06-27,martes,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con reducción de carriles,0,0,Choque,100.0
2828,Antioquia,2017-06-29,jueves,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2829,Antioquia,2017-07-02,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Volcamiento,100.0
2830,Antioquia,2017-07-03,lunes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con reducción de carriles,4,0,Choque,100.0
2831,Antioquia,2017-07-08,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2832,Antioquia,2017-07-08,sabado,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con reducción de carriles,0,0,Choque,100.0
2833,Antioquia,2017-07-11,martes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Transito normal con precaución,2,0,Choque,100.0
2834,Antioquia,2017-07-12,miercoles,Normal,Humeda,Montañoso,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2835,Antioquia,2017-07-16,domingo,Lluvia,Humeda,Montañoso,Recta,Parcial con reducción de carriles,0,2,Choque,100.0
2836,Antioquia,2017-07-18,martes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2837,Antioquia,2017-07-22,sabado,Normal,Material suelto,Montañoso,Curva Izquierda,Parcial con reducción de carriles,0,0,Choque,100.0
2838,Antioquia,2017-07-22,sabado,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con reducción de carriles,1,0,Choque,100.0
2839,Antioquia,2017-07-23,domingo,Normal,Material suelto,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2840,Antioquia,2017-07-23,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,1,Choque,100.0
2841,Antioquia,2017-07-24,lunes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con reducción de carriles,1,0,Choque,100.0
